"date","raw_value","series","segment","chained_2011"
1982-04-01,101.2,"Headline WPI","1981-82 base -> 2011-12",13.968138417335
1982-05-01,101.6,"Headline WPI","1981-82 base -> 2011-12",14.0233484506051
1982-06-01,103.5,"Headline WPI","1981-82 base -> 2011-12",14.2855961086381
1982-07-01,104.8,"Headline WPI","1981-82 base -> 2011-12",14.4650287167659
1982-08-01,106,"Headline WPI","1981-82 base -> 2011-12",14.6306588165762
1982-09-01,105.5,"Headline WPI","1981-82 base -> 2011-12",14.5616462749886
1982-10-01,105.2,"Headline WPI","1981-82 base -> 2011-12",14.520238750036
1982-11-01,105.8,"Headline WPI","1981-82 base -> 2011-12",14.6030537999411
1982-12-01,105.5,"Headline WPI","1981-82 base -> 2011-12",14.5616462749886
1983-01-01,105.8,"Headline WPI","1981-82 base -> 2011-12",14.6030537999411
1983-02-01,106.8,"Headline WPI","1981-82 base -> 2011-12",14.7410788831164
1983-03-01,107.1,"Headline WPI","1981-82 base -> 2011-12",14.782486408069
1983-04-01,108.5,"Headline WPI","1981-82 base -> 2011-12",14.9757215245143
1983-05-01,110.4,"Headline WPI","1981-82 base -> 2011-12",15.2379691825473
1983-06-01,111.1,"Headline WPI","1981-82 base -> 2011-12",15.3345867407699
1983-07-01,112.2,"Headline WPI","1981-82 base -> 2011-12",15.4864143322627
1983-08-01,113.1,"Headline WPI","1981-82 base -> 2011-12",15.6106369071204
1983-09-01,113.5,"Headline WPI","1981-82 base -> 2011-12",15.6658469403905
1983-10-01,113.6,"Headline WPI","1981-82 base -> 2011-12",15.6796494487081
1983-11-01,113.9,"Headline WPI","1981-82 base -> 2011-12",15.7210569736606
1983-12-01,113.7,"Headline WPI","1981-82 base -> 2011-12",15.6934519570256
1984-01-01,114.6,"Headline WPI","1981-82 base -> 2011-12",15.8176745318833
1984-02-01,114.7,"Headline WPI","1981-82 base -> 2011-12",15.8314770402008
1984-03-01,114.8,"Headline WPI","1981-82 base -> 2011-12",15.8452795485184
1984-04-01,115.6,"Headline WPI","1981-82 base -> 2011-12",15.9556996150586
1984-05-01,116.7,"Headline WPI","1981-82 base -> 2011-12",16.1075272065513
1984-06-01,119.2,"Headline WPI","1981-82 base -> 2011-12",16.4525899144895
1984-07-01,120.9,"Headline WPI","1981-82 base -> 2011-12",16.6872325558874
1984-08-01,121.8,"Headline WPI","1981-82 base -> 2011-12",16.8114551307451
1984-09-01,120.9,"Headline WPI","1981-82 base -> 2011-12",16.6872325558874
1984-10-01,121.4,"Headline WPI","1981-82 base -> 2011-12",16.756245097475
1984-11-01,121.2,"Headline WPI","1981-82 base -> 2011-12",16.7286400808399
1984-12-01,120.4,"Headline WPI","1981-82 base -> 2011-12",16.6182200142997
1985-01-01,121,"Headline WPI","1981-82 base -> 2011-12",16.7010350642049
1985-02-01,120.7,"Headline WPI","1981-82 base -> 2011-12",16.6596275392523
1985-03-01,121.2,"Headline WPI","1981-82 base -> 2011-12",16.7286400808399
1985-04-01,123.3,"Headline WPI","1981-82 base -> 2011-12",17.018492755508
1985-05-01,124.2,"Headline WPI","1981-82 base -> 2011-12",17.1427153303657
1985-06-01,125.1,"Headline WPI","1981-82 base -> 2011-12",17.2669379052234
1985-07-01,126,"Headline WPI","1981-82 base -> 2011-12",17.3911604800811
1985-08-01,126.1,"Headline WPI","1981-82 base -> 2011-12",17.4049629883987
1985-09-01,125,"Headline WPI","1981-82 base -> 2011-12",17.2531353969059
1985-10-01,125.3,"Headline WPI","1981-82 base -> 2011-12",17.2945429218585
1985-11-01,125.1,"Headline WPI","1981-82 base -> 2011-12",17.2669379052234
1985-12-01,125.3,"Headline WPI","1981-82 base -> 2011-12",17.2945429218585
1986-01-01,125.8,"Headline WPI","1981-82 base -> 2011-12",17.3635554634461
1986-02-01,126.6,"Headline WPI","1981-82 base -> 2011-12",17.4739755299863
1986-03-01,127.4,"Headline WPI","1981-82 base -> 2011-12",17.5843955965265
1986-04-01,128.6,"Headline WPI","1981-82 base -> 2011-12",17.7500256963368
1986-05-01,129.9,"Headline WPI","1981-82 base -> 2011-12",17.9294583044646
1986-06-01,131.1,"Headline WPI","1981-82 base -> 2011-12",18.0950884042749
1986-07-01,132.9,"Headline WPI","1981-82 base -> 2011-12",18.3435335539903
1986-08-01,133.5,"Headline WPI","1981-82 base -> 2011-12",18.4263486038955
1986-09-01,133.4,"Headline WPI","1981-82 base -> 2011-12",18.412546095578
1986-10-01,134.1,"Headline WPI","1981-82 base -> 2011-12",18.5091636538006
1986-11-01,134,"Headline WPI","1981-82 base -> 2011-12",18.4953611454831
1986-12-01,133.1,"Headline WPI","1981-82 base -> 2011-12",18.3711385706254
1987-01-01,134.2,"Headline WPI","1981-82 base -> 2011-12",18.5229661621182
1987-02-01,133.6,"Headline WPI","1981-82 base -> 2011-12",18.440151112213
1987-03-01,134.2,"Headline WPI","1981-82 base -> 2011-12",18.5229661621182
1987-04-01,135.5,"Headline WPI","1981-82 base -> 2011-12",18.702398770246
1987-05-01,137.6,"Headline WPI","1981-82 base -> 2011-12",18.992251444914
1987-06-01,139.1,"Headline WPI","1981-82 base -> 2011-12",19.1992890696769
1987-07-01,140.7,"Headline WPI","1981-82 base -> 2011-12",19.4201292027573
1987-08-01,144.3,"Headline WPI","1981-82 base -> 2011-12",19.9170195021882
1987-09-01,144.3,"Headline WPI","1981-82 base -> 2011-12",19.9170195021882
1987-10-01,144.8,"Headline WPI","1981-82 base -> 2011-12",19.9860320437758
1987-11-01,146.1,"Headline WPI","1981-82 base -> 2011-12",20.1654646519036
1987-12-01,146,"Headline WPI","1981-82 base -> 2011-12",20.1516621435861
1988-01-01,147.7,"Headline WPI","1981-82 base -> 2011-12",20.386304784984
1988-02-01,147.9,"Headline WPI","1981-82 base -> 2011-12",20.413909801619
1988-03-01,148.5,"Headline WPI","1981-82 base -> 2011-12",20.4967248515242
1988-04-01,150,"Headline WPI","1981-82 base -> 2011-12",20.7037624762871
1988-05-01,150.7,"Headline WPI","1981-82 base -> 2011-12",20.8003800345097
1988-06-01,152.2,"Headline WPI","1981-82 base -> 2011-12",21.0074176592726
1988-07-01,154.4,"Headline WPI","1981-82 base -> 2011-12",21.3110728422581
1988-08-01,154.5,"Headline WPI","1981-82 base -> 2011-12",21.3248753505757
1988-09-01,154.3,"Headline WPI","1981-82 base -> 2011-12",21.2972703339406
1988-10-01,156,"Headline WPI","1981-82 base -> 2011-12",21.5319129753385
1988-11-01,155.7,"Headline WPI","1981-82 base -> 2011-12",21.490505450386
1988-12-01,154.9,"Headline WPI","1981-82 base -> 2011-12",21.3800853838458
1989-01-01,155.8,"Headline WPI","1981-82 base -> 2011-12",21.5043079587035
1989-02-01,155.9,"Headline WPI","1981-82 base -> 2011-12",21.518110467021
1989-03-01,156.6,"Headline WPI","1981-82 base -> 2011-12",21.6147280252437
1989-04-01,158.4,"Headline WPI","1981-82 base -> 2011-12",21.8631731749591
1989-05-01,160.3,"Headline WPI","1981-82 base -> 2011-12",22.1254208329921
1989-06-01,161.6,"Headline WPI","1981-82 base -> 2011-12",22.3048534411199
1989-07-01,163.6,"Headline WPI","1981-82 base -> 2011-12",22.5809036074704
1989-08-01,166.7,"Headline WPI","1981-82 base -> 2011-12",23.0087813653137
1989-09-01,168.3,"Headline WPI","1981-82 base -> 2011-12",23.2296214983941
1989-10-01,168.3,"Headline WPI","1981-82 base -> 2011-12",23.2296214983941
1989-11-01,167.5,"Headline WPI","1981-82 base -> 2011-12",23.1192014318539
1989-12-01,166.6,"Headline WPI","1981-82 base -> 2011-12",22.9949788569962
1990-01-01,168,"Headline WPI","1981-82 base -> 2011-12",23.1882139734415
1990-02-01,168.8,"Headline WPI","1981-82 base -> 2011-12",23.2986340399817
1990-03-01,170.1,"Headline WPI","1981-82 base -> 2011-12",23.4780666481095
1990-04-01,172.8,"Headline WPI","1981-82 base -> 2011-12",23.8507343726827
1990-05-01,174.3,"Headline WPI","1981-82 base -> 2011-12",24.0577719974456
1990-06-01,176.9,"Headline WPI","1981-82 base -> 2011-12",24.4166372137012
1990-07-01,179.3,"Headline WPI","1981-82 base -> 2011-12",24.7478974133218
1990-08-01,180.2,"Headline WPI","1981-82 base -> 2011-12",24.8721199881795
1990-09-01,180.9,"Headline WPI","1981-82 base -> 2011-12",24.9687375464022
1990-10-01,183.3,"Headline WPI","1981-82 base -> 2011-12",25.2999977460228
1990-11-01,185.1,"Headline WPI","1981-82 base -> 2011-12",25.5484428957382
1990-12-01,186.6,"Headline WPI","1981-82 base -> 2011-12",25.7554805205011
1991-01-01,189.6,"Headline WPI","1981-82 base -> 2011-12",26.1695557700268
1991-02-01,191.6,"Headline WPI","1981-82 base -> 2011-12",26.4456059363773
1991-03-01,191.7,"Headline WPI","1981-82 base -> 2011-12",26.4594084446949
1991-04-01,192.8,"Headline WPI","1981-82 base -> 2011-12",26.6112360361876
1991-05-01,194.8,"Headline WPI","1981-82 base -> 2011-12",26.8872862025381
1991-06-01,198.4,"Headline WPI","1981-82 base -> 2011-12",27.384176501969
1991-07-01,202.8,"Headline WPI","1981-82 base -> 2011-12",27.9914868679401
1991-08-01,209.2,"Headline WPI","1981-82 base -> 2011-12",28.8748474002617
1991-09-01,210.4,"Headline WPI","1981-82 base -> 2011-12",29.040477500072
1991-10-01,210.2,"Headline WPI","1981-82 base -> 2011-12",29.0128724834369
1991-11-01,212.4,"Headline WPI","1981-82 base -> 2011-12",29.3165276664225
1991-12-01,213.2,"Headline WPI","1981-82 base -> 2011-12",29.4269477329627
1992-01-01,215.3,"Headline WPI","1981-82 base -> 2011-12",29.7168004076307
1992-02-01,216.4,"Headline WPI","1981-82 base -> 2011-12",29.8686279991235
1992-03-01,217.7,"Headline WPI","1981-82 base -> 2011-12",30.0480606072513
1992-04-01,219.4,"Headline WPI","1981-82 base -> 2011-12",30.2827032486492
1992-05-01,221.6,"Headline WPI","1981-82 base -> 2011-12",30.5863584316347
1992-06-01,224.1,"Headline WPI","1981-82 base -> 2011-12",30.9314211395729
1992-07-01,226.6,"Headline WPI","1981-82 base -> 2011-12",31.276483847511
1992-08-01,228.8,"Headline WPI","1981-82 base -> 2011-12",31.5801390304965
1992-09-01,230.7,"Headline WPI","1981-82 base -> 2011-12",31.8423866885295
1992-10-01,232.4,"Headline WPI","1981-82 base -> 2011-12",32.0770293299274
1992-11-01,231.7,"Headline WPI","1981-82 base -> 2011-12",31.9804117717047
1992-12-01,231.4,"Headline WPI","1981-82 base -> 2011-12",31.9390042467522
1993-01-01,231.6,"Headline WPI","1981-82 base -> 2011-12",31.9666092633872
1993-02-01,232.8,"Headline WPI","1981-82 base -> 2011-12",32.1322393631975
1993-03-01,233.1,"Headline WPI","1981-82 base -> 2011-12",32.1736468881501
1993-04-01,234.6,"Headline WPI","1981-82 base -> 2011-12",32.380684512913
1993-05-01,237,"Headline WPI","1981-82 base -> 2011-12",32.7119447125336
1993-06-01,239.8,"Headline WPI","1981-82 base -> 2011-12",33.0984149454242
1993-07-01,243.1,"Headline WPI","1981-82 base -> 2011-12",33.5538977199026
1993-08-01,247,"Headline WPI","1981-82 base -> 2011-12",34.092195544286
1993-09-01,250.9,"Headline WPI","1981-82 base -> 2011-12",34.6304933686695
1993-10-01,252.2,"Headline WPI","1981-82 base -> 2011-12",34.8099259767973
1993-11-01,251.6,"Headline WPI","1981-82 base -> 2011-12",34.7271109268922
1993-12-01,251.7,"Headline WPI","1981-82 base -> 2011-12",34.7409134352097
1994-01-01,252.7,"Headline WPI","1981-82 base -> 2011-12",34.8789385183849
1994-02-01,254.8,"Headline WPI","1981-82 base -> 2011-12",35.168791193053
1994-03-01,257.6,"Headline WPI","1981-82 base -> 2011-12",35.5552614259436
1994-04-01,107.5,"Headline WPI","1993-94 base -> 2011-12",36.7678117816382
1994-05-01,108.3,"Headline WPI","1993-94 base -> 2011-12",37.0414327065248
1994-06-01,110,"Headline WPI","1993-94 base -> 2011-12",37.6228771719088
1994-07-01,111.1,"Headline WPI","1993-94 base -> 2011-12",37.9991059436279
1994-08-01,111.8,"Headline WPI","1993-94 base -> 2011-12",38.2385242529037
1994-09-01,111.9,"Headline WPI","1993-94 base -> 2011-12",38.2727268685145
1994-10-01,112.7,"Headline WPI","1993-94 base -> 2011-12",38.5463477934012
1994-11-01,113.2,"Headline WPI","1993-94 base -> 2011-12",38.7173608714553
1994-12-01,114.5,"Headline WPI","1993-94 base -> 2011-12",39.161994874396
1995-01-01,116.2,"Headline WPI","1993-94 base -> 2011-12",39.7434393397801
1995-02-01,116.9,"Headline WPI","1993-94 base -> 2011-12",39.9828576490559
1995-03-01,116.9,"Headline WPI","1993-94 base -> 2011-12",39.9828576490559
1995-04-01,119.3,"Headline WPI","1993-94 base -> 2011-12",40.8037204237157
1995-05-01,120.2,"Headline WPI","1993-94 base -> 2011-12",41.1115439642131
1995-06-01,120.7,"Headline WPI","1993-94 base -> 2011-12",41.2825570422672
1995-07-01,121.8,"Headline WPI","1993-94 base -> 2011-12",41.6587858139863
1995-08-01,121.8,"Headline WPI","1993-94 base -> 2011-12",41.6587858139863
1995-09-01,121.9,"Headline WPI","1993-94 base -> 2011-12",41.6929884295972
1995-10-01,122.2,"Headline WPI","1993-94 base -> 2011-12",41.7955962764296
1995-11-01,122.5,"Headline WPI","1993-94 base -> 2011-12",41.8982041232621
1995-12-01,122.1,"Headline WPI","1993-94 base -> 2011-12",41.7613936608188
1996-01-01,122,"Headline WPI","1993-94 base -> 2011-12",41.727191045208
1996-02-01,122.1,"Headline WPI","1993-94 base -> 2011-12",41.7613936608188
1996-03-01,122.2,"Headline WPI","1993-94 base -> 2011-12",41.7955962764296
1996-04-01,123.7,"Headline WPI","1993-94 base -> 2011-12",42.308635510592
1996-05-01,124.5,"Headline WPI","1993-94 base -> 2011-12",42.5822564354786
1996-06-01,125.1,"Headline WPI","1993-94 base -> 2011-12",42.7874721291436
1996-07-01,127,"Headline WPI","1993-94 base -> 2011-12",43.4373218257493
1996-08-01,127.8,"Headline WPI","1993-94 base -> 2011-12",43.7109427506359
1996-09-01,128.1,"Headline WPI","1993-94 base -> 2011-12",43.8135505974684
1996-10-01,127.8,"Headline WPI","1993-94 base -> 2011-12",43.7109427506359
1996-11-01,128,"Headline WPI","1993-94 base -> 2011-12",43.7793479818576
1996-12-01,128.5,"Headline WPI","1993-94 base -> 2011-12",43.9503610599117
1997-01-01,128.3,"Headline WPI","1993-94 base -> 2011-12",43.88195582869
1997-02-01,128.8,"Headline WPI","1993-94 base -> 2011-12",44.0529689067442
1997-03-01,128.8,"Headline WPI","1993-94 base -> 2011-12",44.0529689067442
1997-04-01,130.9,"Headline WPI","1993-94 base -> 2011-12",44.7712238345715
1997-05-01,130.8,"Headline WPI","1993-94 base -> 2011-12",44.7370212189607
1997-06-01,131.4,"Headline WPI","1993-94 base -> 2011-12",44.9422369126257
1997-07-01,131.6,"Headline WPI","1993-94 base -> 2011-12",45.0106421438473
1997-08-01,132,"Headline WPI","1993-94 base -> 2011-12",45.1474526062906
1997-09-01,132.9,"Headline WPI","1993-94 base -> 2011-12",45.455276146788
1997-10-01,133.4,"Headline WPI","1993-94 base -> 2011-12",45.6262892248422
1997-11-01,133.1,"Headline WPI","1993-94 base -> 2011-12",45.5236813780097
1997-12-01,133.7,"Headline WPI","1993-94 base -> 2011-12",45.7288970716747
1998-01-01,134.8,"Headline WPI","1993-94 base -> 2011-12",46.1051258433938
1998-02-01,134.2,"Headline WPI","1993-94 base -> 2011-12",45.8999101497288
1998-03-01,134.4,"Headline WPI","1993-94 base -> 2011-12",45.9683153809504
1998-04-01,136.9,"Headline WPI","1993-94 base -> 2011-12",46.8233807712211
1998-05-01,138.2,"Headline WPI","1993-94 base -> 2011-12",47.2680147741618
1998-06-01,139.8,"Headline WPI","1993-94 base -> 2011-12",47.8152566239351
1998-07-01,140.9,"Headline WPI","1993-94 base -> 2011-12",48.1914853956541
1998-08-01,140.6,"Headline WPI","1993-94 base -> 2011-12",48.0888775488217
1998-09-01,140.8,"Headline WPI","1993-94 base -> 2011-12",48.1572827800433
1998-10-01,142,"Headline WPI","1993-94 base -> 2011-12",48.5677141673732
1998-11-01,142.6,"Headline WPI","1993-94 base -> 2011-12",48.7729298610382
1998-12-01,142.1,"Headline WPI","1993-94 base -> 2011-12",48.6019167829841
1999-01-01,140.9,"Headline WPI","1993-94 base -> 2011-12",48.1914853956541
1999-02-01,141.4,"Headline WPI","1993-94 base -> 2011-12",48.3624984737083
1999-03-01,141.6,"Headline WPI","1993-94 base -> 2011-12",48.4309037049299
1999-04-01,142.4,"Headline WPI","1993-94 base -> 2011-12",48.7045246298165
1999-05-01,142.8,"Headline WPI","1993-94 base -> 2011-12",48.8413350922598
1999-06-01,143.3,"Headline WPI","1993-94 base -> 2011-12",49.012348170314
1999-07-01,143.7,"Headline WPI","1993-94 base -> 2011-12",49.1491586327573
1999-08-01,144.6,"Headline WPI","1993-94 base -> 2011-12",49.4569821732547
1999-09-01,145.3,"Headline WPI","1993-94 base -> 2011-12",49.6964004825305
1999-10-01,146.9,"Headline WPI","1993-94 base -> 2011-12",50.2436423323037
1999-11-01,147,"Headline WPI","1993-94 base -> 2011-12",50.2778449479145
1999-12-01,146.1,"Headline WPI","1993-94 base -> 2011-12",49.9700214074171
2000-01-01,145.9,"Headline WPI","1993-94 base -> 2011-12",49.9016161761955
2000-02-01,146.4,"Headline WPI","1993-94 base -> 2011-12",50.0726292542496
2000-03-01,149.5,"Headline WPI","1993-94 base -> 2011-12",51.1329103381852
2000-04-01,151.7,"Headline WPI","1993-94 base -> 2011-12",51.8853678816234
2000-05-01,151.8,"Headline WPI","1993-94 base -> 2011-12",51.9195704972342
2000-06-01,152.7,"Headline WPI","1993-94 base -> 2011-12",52.2273940377316
2000-07-01,153.1,"Headline WPI","1993-94 base -> 2011-12",52.3642045001749
2000-08-01,153.4,"Headline WPI","1993-94 base -> 2011-12",52.4668123470074
2000-09-01,154.7,"Headline WPI","1993-94 base -> 2011-12",52.9114463499482
2000-10-01,157.9,"Headline WPI","1993-94 base -> 2011-12",54.0059300494946
2000-11-01,158.2,"Headline WPI","1993-94 base -> 2011-12",54.1085378963271
2000-12-01,158.5,"Headline WPI","1993-94 base -> 2011-12",54.2111457431596
2001-01-01,158.6,"Headline WPI","1993-94 base -> 2011-12",54.2453483587704
2001-02-01,158.6,"Headline WPI","1993-94 base -> 2011-12",54.2453483587704
2001-03-01,159.1,"Headline WPI","1993-94 base -> 2011-12",54.4163614368245
2001-04-01,159.9,"Headline WPI","1993-94 base -> 2011-12",54.6899823617111
2001-05-01,160.3,"Headline WPI","1993-94 base -> 2011-12",54.8267928241544
2001-06-01,160.8,"Headline WPI","1993-94 base -> 2011-12",54.9978059022086
2001-07-01,161.1,"Headline WPI","1993-94 base -> 2011-12",55.100413749041
2001-08-01,161.7,"Headline WPI","1993-94 base -> 2011-12",55.305629442706
2001-09-01,161.7,"Headline WPI","1993-94 base -> 2011-12",55.305629442706
2001-10-01,162.5,"Headline WPI","1993-94 base -> 2011-12",55.5792503675926
2001-11-01,162.3,"Headline WPI","1993-94 base -> 2011-12",55.510845136371
2001-12-01,161.8,"Headline WPI","1993-94 base -> 2011-12",55.3398320583168
2002-01-01,161,"Headline WPI","1993-94 base -> 2011-12",55.0662111334302
